Total Number of Aligned Reads:	131220	Total Number of Mapped Genomes:	7493
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|663951|org|Staphylococcus_aureus_subsp._aureus_TW20	0.32954290655238605	0.8341792409693645	109461.0	0.8192272519433014	0.0149519890260631	0.235928954621168	0.11826055332790736	15518.149807688003	0.025354366712391403	0.6248285322359396
ti|1280|org|Staphylococcus_aureus	0.2737675805222399	0.08337143728090231	10940.0	0.07803688462124676	0.0053345526596555405	0.24230818471571522	0.06033903709605899	7917.688447744861	0.0443834781283341	0.16066910531931108
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.11310196690006967	0.016727632982777015	2195.0	0.015279682975156226	0.0014479500076207896	0.11635831193250959	0.053204656631198013	6981.515043145803	0.013930803231214754	0.46381649138850783
ti|1028799|org|Staphylococcus_aureus_subsp._aureus_VC40	0.05973925235971051	0.00720164609053498	945.0	0.007194025301021186	7.620789513793629e-06	0.04776214178358421	0.04735355413574229	6213.733373692104	0.006378600823045267	0.46044810242341105
ti|418127|org|Staphylococcus_aureus_subsp._aureus_Mu3	0.03287270181215408	0.007323578722755677	961.0	0.007232129248590154	9.144947416552355e-05	0.04242751920827858	0.01971840766014997	2587.449453164879	0.006081390032007316	0.22159731748209113
ti|158879|org|Staphylococcus_aureus_subsp._aureus_N315	0.019223541715228797	0.0033302850175278157	437.0	0.003322664228014022	7.620789513793629e-06	0.016416275405223602	0.01597929631940271	2096.8032630320236	0.002514860539551898	0.23979576284103032
ti|548473|org|Staphylococcus_aureus_subsp._aureus_TCH60	0.017558589709117566	0.002255753696082914	296.0	0.002255753696082914	0.0	0.02625766938792271	0.028700018994285387	3766.0164924301284	0.001828989483310471	0.19442920286541684
ti|985002|org|Staphylococcus_aureus_subsp._aureus_MSHR1132	0.01544766598073988	0.005639384240207285	740.0	0.005624142661179698	1.5241579027587257e-05	0.014501808184558648	0.005698490853794204	747.7559698348755	0.0053345526596555405	0.009152568206066148
ti|282459|org|Staphylococcus_aureus_subsp._aureus_MSSA476	0.014915324080472516	0.002591068434689834	340.0	0.002568206066148453	2.2862368541380887e-05	0.03294346762503053	0.021688571618881054	2845.9743678295717	0.004267642127724432	0.250480109739369
ti|874268|org|Staphylococcus_phage_phi7247PVL	0.014160630816666697	0.004237158969669258	556.0	0.004237158969669258	0.0	0.009449112153243724	0.0032658614607738463	428.5463408827441	0.003718945282731291	0.0007239750038103948
ti|283734|org|Staphylococcus_pseudintermedius	0.013296073057835589	0.0014098460600518213	185.0	0.0014098460600518213	0.0	0.013266467276978689	0.001992880663424851	261.50580065460895	0.0014022252705380277	0.0038332571254381955
ti|1195068|org|Staphylococcus_phage_StauST398-1	0.00779864158843869	0.0022938576436518825	301.0	0.002240512117055327	5.33455265965554e-05	0.006744257973223244	0.001776158404958293	233.0675058986272	0.0013641213229690595	0.0009830818472793782
ti|320848|org|Staphylococcus_phage_88	0.007779736367421532	0.0025986892242036274	341.0	0.0025758268556622466	2.2862368541380887e-05	0.00541394766735874	0.0019247498476700445	252.56567501126324	0.001539399481786313	0.001272671848803536
ti|1314|org|Streptococcus_pyogenes	0.007679510907394305	0.0008078036884621247	106.0	0.0008078036884621247	0.0	0.007643260261011877	0.0008334962698588283	109.37138053087544	0.0008078036884621247	0.00028196921201036426
ti|93062|org|Staphylococcus_aureus_subsp._aureus_COL	0.007394938284546881	0.001005944215820759	132.0	0.0009983234263069654	7.620789513793629e-06	0.0074660155640019436	0.041236020863994464	5410.990657773354	0.0009602194787379973	0.45629477213839353
ti|681288|org|Staphylococcus_aureus_subsp._aureus_ED98	0.006040688799589608	0.0012650510592897425	166.0	0.001257430269775949	7.620789513793629e-06	0.004827654005475383	0.014535511032461913	1907.3497576796522	0.0012040847431793935	0.23705227861606462
ti|282458|org|Staphylococcus_aureus_subsp._aureus_MRSA252	0.0054942790498834935	0.00094497789971041	124.0	0.0009221155311690292	2.2862368541380887e-05	0.03357450146991324	0.029386258885070633	3856.0648908989683	0.0027358634354519126	0.1948559670781893
ti|59506|org|Staphylococcus_phage_85	0.005369152939590101	0.0012269471117207743	161.0	0.001150739216582838	7.620789513793629e-05	0.0034819405539537303	0.0007340821721251537	96.32626262626268	0.00048010973936899864	0.0010440481633897272
ti|1006543|org|Staphylococcus_aureus_subsp._aureus_T0131	0.005033969814698114	0.0011354976375552506	149.0	0.0011126352690138698	2.2862368541380887e-05	0.014150317513908805	0.06875138343235919	9021.556533994173	0.0027511050144795003	0.5858634354519128
ti|186153|org|Staphylococcus_phage_phi13	0.004888919697335145	0.0013412589544276787	176.0	0.0013412589544276787	0.0	0.005947005439038527	0.0016449347556843625	215.84833864090206	0.0017070568510897729	0.0006096631611034903
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.004764726641021256	0.0011659807956104253	153.0	0.0011583600060966317	7.620789513793629e-06	0.0048132352309399945	0.007487741977725068	982.5415023170833	0.00102880658436214	0.09849108367626887
ti|1123523|org|Staphylococcus_aureus_subsp._aureus_11819-97	0.004519482892418381	0.001257430269775949	165.0	0.0012193263222069807	3.8103947568968146e-05	0.004490691942689001	0.020315983778715838	2665.863391443092	0.001188843164151806	0.26502819692120105
ti|426430|org|Staphylococcus_aureus_subsp._aureus_str._Newman	0.003514690196029894	0.0008382868465172992	110.0	0.0008230452674897119	1.5241579027587257e-05	0.0035008017323052807	0.04191097004458824	5499.557489250869	0.0007696997408931565	0.47899710409998475
ti|1074252|org|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0.003508245780963326	0.0012421886907483615	163.0	0.0012345679012345679	7.620789513793629e-06	0.006097468360008378	0.011886352272582975	1559.727145208338	0.001562261850327694	0.1507163542142966
ti|46170|org|Staphylococcus_aureus_subsp._aureus	0.00336172396695609	0.003429355281207133	450.0	0.003429355281207133	0.0	0.0033823411855943676	0.004594176270123525	602.847810165609	0.003635116598079561	0.01186556927297668
ti|320846|org|Staphylococcus_phage_29	0.0029100725187754858	0.0006858710562414266	90.0	0.000678250266727633	7.620789513793629e-06	0.003069713554877345	0.0008274883307744695	108.58301876422588	0.0006020423715896967	0.0007315957933241884
ti|379501|org|Staphylococcus_phage_phiMR11	0.001913407331966176	0.0002362444749276025	31.0	0.00022862368541380886	7.620789513793629e-06	0.0020660520129844027	0.00039676601404996464	52.06363636363636	0.000266727632982777	0.0002591068434689834
ti|441911|org|Single-copy_integration_vector_pCL25	0.001850667383769563	0.00035055631763450694	46.0	0.00035055631763450694	0.0	0.003065180093558446	0.0005204636343182296	68.29523809523809	0.0006706294772138394	5.33455265965554e-05
ti|947066|org|Staphylococcus_phage_TEM126	0.0018187602418504886	0.0012269471117207743	161.0	0.0012269471117207743	0.0	0.0021230615022706668	0.0013366051889142881	175.38933288933288	0.0012193263222069807	0.0005105928974241731
ti|1352|org|Enterococcus_faecium	0.0016823369445578952	0.0019661636945587564	258.0	0.001950922115531169	1.5241579027587257e-05	0.012339093404093417	0.003309609242260194	434.28692476938267	0.0019280597469897881	0.010425240054869684
ti|872294|org|Staphylococcus_phage_SAP-26	0.0013271542233500176	0.0002133821063862216	28.0	0.0002133821063862216	0.0	0.0013844015540327127	0.0003842689954607385	50.423777584358106	0.0002895900015241579	0.0003962810547172687
ti|903521|org|Staphylococcus_aureus_SK6575	0.0012982349704415074	0.00017527815881725347	23.0	0.00017527815881725347	0.0	0.0012982349704415072	0.003677452795264291	482.55535579458024	0.0004191434232586496	0.013412589544276788
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	0.0010871632923629803	0.0010211857948483462	134.0	0.0010211857948483462	0.0	0.0020406331653711617	0.00792716667056594	1040.2028105116628	0.001066910531931108	0.10532693187014175
ti|1155766|org|Enterococcus_faecium_Aus0004	0.00106553650825233	0.00014479500076207896	19.0	0.00014479500076207896	0.0	0.012526616469419341	0.001234394344645077	161.977225904327	0.00019814052735863435	0.005281207133058985
ti|158878|org|Staphylococcus_aureus_subsp._aureus_Mu50	0.0009816127229344655	0.00016765736930345984	22.0	0.00016765736930345984	0.0	0.0015656493095313842	0.01331798264112354	1747.585682168231	0.00022862368541380886	0.22951531778692272
ti|1285|org|Staphylococcus_intermedius	0.0006126896382267761	0.0002895900015241579	38.0	0.0002895900015241579	0.0	0.00032279597266676616	0.00023459694168142086	30.783810687436045	0.0002895900015241579	0.0004953513183965859
ti|561307|org|Staphylococcus_aureus_subsp._aureus_RN4220	0.000606307385259108	0.00017527815881725347	23.0	0.00017527815881725347	0.0	0.0006063067403181001	0.0005194684066015352	68.16464431425345	0.00013717421124828533	0.00489254686785551
ti|1155084|org|Staphylococcus_aureus_subsp._aureus_71193	0.0005388690969642794	0.0007620789513793629	100.0	0.0007620789513793629	0.0	0.004170735398610828	0.00793859327585427	1041.7022096575975	0.0015851242188690748	0.09735558603871361
ti|320831|org|Staphylococcus_phage_PT1028	0.00037969530054656636	0.00015241579027587258	20.0	0.00015241579027587258	0.0	0.0005394270656886262	0.0001600365797896662	21.0	0.00015241579027587258	2.2862368541380887e-05
ti|546342|org|Staphylococcus_aureus_subsp._aureus_str._JKD6008	0.00032628176659157086	0.00020576131687242798	27.0	0.00020576131687242798	0.0	0.0012356147232994625	0.06724201394834299	8823.497070301568	0.0002972107910379515	0.5909693644261546
ti|668618|org|Staphylococcus_phage_P954	0.00022295750765085888	6.858710562414266e-05	9.0	6.858710562414266e-05	0.0	0.0002246855620838017	0.00047561522695556375	62.41023008110908	8.382868465172992e-05	0.001539399481786313
ti|387908|org|Staphylococcus_aureus_phage_phiNM2	0.00017762895103083025	0.00013717421124828533	18.0	0.00013717421124828533	0.0	0.0007280343384452693	0.00031612099056086275	41.48139638139641	0.0001295534217344917	0.0009297363206828228
ti|702821|org|Staphylococcus_phage_SAP090D	0.00015639475382537963	4.5724737082761774e-05	6.0	4.5724737082761774e-05	0.0	0.0001563949331567024	0.00010367869907193176	13.604718892218886	6.096631611034903e-05	0.0002972107910379515
ti|1118959|org|Staphylococcus_aureus_subsp._aureus_M013	0.00013880054113914344	0.0011431184270690445	150.0	0.0011431184270690445	0.0	0.005463364748497595	0.009136675895906938	1198.9146110609083	0.0030711781740588324	0.10235482395976223
ti|273036|org|Staphylococcus_aureus_RF122	5.175917104699995e-05	0.0005258344764517604	69.0	0.0005258344764517604	0.0	0.0008706047998309775	0.006096369915076626	799.9656602563549	0.000533455265965554	0.08485749123609206
ti|1282|org|Staphylococcus_epidermidis	3.961911320645855e-05	0.0002591068434689834	34.0	0.0002591068434689834	0.0	4.0655692146832513e-05	0.001018808731815423	133.68808178881983	0.00015241579027587258	0.010852004267642127
ti|320845|org|Staphylococcus_phage_55	2.758802361565103e-05	0.00011431184270690443	15.0	0.00011431184270690443	0.0	2.7165552274743175e-05	0.00017546222103902515	23.02415264474088	0.00012193263222069806	0.00031245237006553877
ti|523796|org|Staphylococcus_aureus_subsp._aureus_ST398	7.135331311563378e-06	0.0002362444749276025	31.0	0.00022862368541380886	7.620789513793629e-06	0.0004046489391075528	0.006963601173574856	913.7637459964926	0.00019814052735863435	0.10017527815881726
ti|320847|org|Staphylococcus_phage_52A	2.2485870691520775e-06	0.00027434842249657066	36.0	0.00027434842249657066	0.0	0.001737199615256191	0.0008962394581628558	117.60454170012994	0.000739216582837982	0.000594421582075903
ti|176279|org|Staphylococcus_epidermidis_RP62A	9.615921303113472e-07	0.00017527815881725347	23.0	0.00017527815881725347	0.0	0.015969406428272902	0.0013702452516408904	179.80358192031764	0.001356500533455266	0.010409998475842097
ti|286693|org|Mutagenesis_vector_pCAM45	4.861831465876247e-07	1.5241579027587257e-05	2.0	1.5241579027587257e-05	0.0	3.9229076943789446e-08	1.954330943355024e-05	2.5644730638704627	0.0	0.0001066910531931108
ti|359786|org|Staphylococcus_aureus_subsp._aureus_JH9	2.9954761658424694e-07	8.382868465172992e-05	11.0	8.382868465172992e-05	0.0	0.0009864919598028324	0.013213739833303333	1733.9069409260633	0.0005639384240207285	0.22568206066148452
ti|29382|org|Staphylococcus_cohnii	2.438555817990096e-07	1.5241579027587257e-05	2.0	1.5241579027587257e-05	0.0	2.514169582216985e-07	0.0005695008575690468	74.72990253021032	1.5241579027587257e-05	0.00810852004267642
ti|1229492|org|Staphylococcus_aureus_08BA02176	1.0871230109809471e-07	4.5724737082761774e-05	6.0	4.5724737082761774e-05	0.0	0.0008923927474198315	0.0068215775334267035	895.127403936252	0.00027434842249657066	0.10175278158817254
ti|279808|org|Staphylococcus_haemolyticus_JCSC1435	1.8041168356495653e-08	0.00017527815881725347	23.0	0.00016765736930345984	7.620789513793629e-06	4.482125565278463e-07	0.0017884084332719461	234.67495461394478	0.001127876848041457	0.008962048468221307
ti|326037|org|Staphylococcus_phage_phiETA3	1.2956342844917825e-08	5.33455265965554e-05	7.0	5.33455265965554e-05	0.0	1.784888683103732e-06	8.965364528989151e-05	11.764351334939564	5.33455265965554e-05	0.00031245237006553877
ti|869816|org|Staphylococcus_aureus_subsp._aureus_JKD6159	7.3730198092319715e-09	3.8103947568968146e-05	5.0	3.8103947568968146e-05	0.0	0.0014932230295085181	0.006201537752859566	813.7657839302323	0.0001295534217344917	0.09842249657064472
